user_login,cluster,umap_x,umap_y
danlessa,6,1.0902021,-3.2471004
danyportuense,4,-6.3106713,-6.0218287
darahpontes,12,-6.540486,-3.2230597
dario25,10,-1.4949898,-6.570729
dartanhan,7,-5.721034,-10.820276
david275,9,-7.582211,-5.042178
david55851,4,-6.7386417,-5.490554
david99,9,-7.60455,-4.7281256
david_bio,2,-2.0558825,-3.5535395
david_guimaraes,0,-9.464182,-7.0763807
daygo_nf,8,-2.7373435,-8.560306
daymartins,8,-2.483365,-7.265126
ddguarda,10,-1.947864,-5.2489696
deborabarbato,4,-5.9942045,-5.594934
deborah_benedetti1,4,-6.2005773,-5.953928
deisee,1,-3.5435407,-5.8994374
del_dmc,1,-3.537878,-6.117339
deltonhiga,3,-12.707251,-2.829658
demarchi_gui,1,-5.498394,-7.03699
deneb16,7,-5.8719344,-10.762146
denilson_jose,5,-5.013642,-2.5513487
denisedealmeidasilva,13,-6.2563434,-1.0673199
denisvinny,10,-1.4713999,-5.237702
deniszabin,6,0.3523496,-4.9576397
dennissiqueira,8,-2.8142428,-8.7940235
deny1515,4,-6.5304537,-6.830688
deodato,8,-2.141545,-8.492475
deolivtiago,8,-3.0178494,-8.136104
dericolvr,11,-2.886347,-2.562069
deysiane,1,-3.7021868,-5.9873
dfsmith,3,-12.898186,-2.8647952
di80,1,-4.9712863,-6.75716
di_santos,0,-8.051668,-7.608673
dianaa4,0,-7.472589,-6.3977613
dianabeatrizsouza,3,-13.0254135,-2.297079
dianajem,3,-12.844067,-2.0175138
dianatabarelli,4,-6.446541,-6.015613
diego546,3,-12.45987,-2.939524
diego561,3,-12.744649,-2.671901
diego_leeuwrck_mrch,8,-2.974833,-8.120711
diegoalex,9,-7.557712,-4.354288
diegoalmendras,7,-5.899536,-10.691203
diegoamedias,9,-7.1793284,-5.116092
diegojunosanfoneiro,10,-3.4719853,-5.7563314
diegoob,4,-4.581438,-4.9017453
diegopetroncari,4,-6.3120217,-4.983247
digimar,10,-2.4997802,-5.728039
diglettsias,0,-6.626596,-7.5270987
dih_castro,8,-3.2333179,-7.5997553
dilma_tsuha,4,-6.642977,-5.787699
diogocardoso,3,-12.490859,-2.2311642
dioliveira,9,-7.211593,-5.0857835
dkise,2,-2.6463814,-3.397172
dmehlman,4,-6.4459877,-5.2115855
dnalonso,1,-5.5975842,-7.8562384
docinholele,1,-3.6394718,-7.315577
dogkin,13,-5.997558,-1.1302732
dom1thi,0,-6.5722356,-7.568327
domingues_mariana,9,-7.5087633,-4.7204885
domundo,5,-3.7853677,-3.0816493
donalddavesne,4,-5.2216353,-5.6347175
douglas_biologo,11,-3.1013436,-1.4930775
douglas_william,13,-6.208323,-0.9635309
doutormosca,9,-7.2918825,-3.8120518
draculptera,2,-2.7989628,-3.323244
draket92,0,-9.478979,-7.152789
draude,8,-2.3708324,-7.302997
drefemartins,7,-5.6323743,-10.967903
dtakiy165,1,-4.572036,-8.203492
dtcanovas,12,-5.9161787,-4.290006
duda_bio24,4,-4.389881,-5.4755187
dudamazza,8,-3.3728802,-7.784606
dugjin,9,-7.7186265,-4.639086
duhgetsu,9,-8.657606,-4.440915
dultra,1,-4.413742,-7.5086846
e_doria,9,-7.3091574,-3.9409494
ebcotrim,9,-7.4284887,-4.070089
ed_ifalana,9,-7.0200844,-4.8534985
edabliu,3,-12.365284,-2.6206996
